Lote,Semana_prod,Peso_gr,Muertos,Descartes,Iniciador_bolsas,Terminador_bolsas
1,1,118,84,0,42,0
1,2,198,38,0,85,0
1,3,439,35,0,106,0
1,4,746,18,0,59,55
1,5,1101,21,0,0,172
1,6,1602,25,0,0,209
1,7,2225,51,0,0,249
1,8,2807,27,0,0,232
1,9,3300,39,0,0,155
1,10,3650,25,0,0,79
1,11,3900,82,0,0,46
1,12,4100,83,0,0,0
1,13,4150,0,0,0,0
2,1,75,93,0,39,0
2,2,104,40,0,72,0
2,3,168,30,0,79,0
2,4,224,4,0,106,0
2,5,445,7,0,59,25
2,6,610,11,0,0,140
2,7,945,22,0,0,207
2,8,1182,110,0,0,186
2,9,1500,370,0,0,185
2,10,1955,99,0,0,175
2,11,2187,37,0,67,94
2,12,2300,26,0,0,157
2,13,2500,13,0,0,132
3,1,144,72,0,35,0
3,2,188,16,0,60,0
3,3,339,32,0,90,0
3,4,781,70,0,97,39
3,5,1200,3,0,0,217
3,6,1385,2,0,0,258
3,7,1910,3,0,0,112
3,8,2300,14,20,0,70
3,9,2700,75,15,0,223
3,10,2900,3,19,0,147
3,11,3000,3,0,0,87
3,12,3150,15,0,0,68
3,13,3300,14,20,0,42
4,1,70,66,1,17,0
4,2,85,70,30,19,0
4,3,105,91,59,12,0
4,4,148,53,21,26,0
4,5,240,30,26,26,30
4,6,484,84,48,34,10
4,7,843,64,33,21,58
4,8,1600,27,23,0,100
4,9,2300,32,10,0,149
4,10,3300,38,25,44,80
4,11,3800,44,29,0,70
4,12,4300,23,10,14,50
4,13,4500,5,0,32,0
5,1,242,25,0,37,0
5,2,392,16,1,41,1
5,3,467,9,0,41,20
5,4,900,7,0,35,56
5,5,1500,3,2,16,67
5,6,2000,4,0,0,126
5,7,2300,9,0,73,0
5,8,2800,25,0,75,33
5,9,3300,0,0,0,107
5,10,3350,0,0,0,73
5,11,3700,8,0,0,41
5,12,4250,0,0,0,14
5,13,4500,5,0,0,12
6,1,92,81,27,29,0
6,2,238,58,21,59,0
6,3,499,34,34,74,0
6,4,1090,24,30,52,93
6,5,1256,4,4,0,161
6,6,2626,176,29,0,206
6,7,3391,6,0,0,153
6,8,3720,7,4,0,113
6,9,4010,6,0,0,142
6,10,4230,4,0,0,113
6,11,4380,0,0,0,22
6,12,4460,1,27,0,30
6,13,4480,0,0,0,18
